Volume,Date,Article,Authors,Article_URL,Type,Keywords
Volume 84,In progress (January 2026),Network interventions to improve search and facilitate research-practice transfer,"Jennifer Watling Neal, Zachary P. Neal",https://www.sciencedirect.com/science/article/pii/S0378873325000498,Research article,"Intervention, Research-practice gap, Research-practice transfer, Science-practice transfer, Search"
Volume 84,In progress (January 2026),The co-evolution of informal social status and gossip in workplace social networks,"Emily Kruidhof, Rense Corten, Lea Ellwardt, Rafael Wittek",https://www.sciencedirect.com/science/article/pii/S0378873325000474,Research article,"Co-evolution, Informal social status, Gossip, Social bonding, Social capital, Stochastic actor-oriented models"
Volume 84,In progress (January 2026),Networked inequality: The role of changes in network heterogeneity and network size in attitudes towards inequality,"Alejandro Plaza, Guillermo Beck, Julio Iturra-Sanhueza, Gabriel Otero, Benjamín Muñoz",https://www.sciencedirect.com/science/article/pii/S0378873325000486,Research article,"Personal networks, Social influence, Social class, Preferences for redistribution, Latin America, NSUM"
Volume 84,In progress (January 2026),Robust network scale-up method estimators,"Sergio Díaz-Aranda, Juan Marcos Ramírez, Jose Aguilar, Rosa E. Lillo, Antonio Fernández Anta",https://www.sciencedirect.com/science/article/pii/S0378873325000590,Research article,"Network scale-up method, Aggregated relational data, Robust estimators, Adaptive procedures, M-estimators"
Volume 84,In progress (January 2026),Can an eye for an eye turn the whole world sanctioned?,"Khrystyna Holynska, Renato Corbetta, Carter T. Butts, C. Ben Gibson",https://www.sciencedirect.com/science/article/pii/S0378873325000589,Research article,"International sanctions, Social network analysis, Dynamic network logistic regression, Formation of sanctions, Persistence of sanctioning ties"
Volume 84,In progress (January 2026),Collecting a large number of alters in egocentric network research: A comparative analysis of three approaches,"Miguel A. González-Casado, Alejandro Cruzado Rey, Miroslav Pulgar Corrotea, Christopher McCarty, José Luis Molina, Angel Sánchez",https://www.sciencedirect.com/science/article/pii/S0378873325000450,Research article,"Name generators, Personal networks, Egocentric networks, Network structure, Network variability"
Volume 84,In progress (January 2026),Uncovering network changes in the evolution of an innovation niche,"Edgardo Sica, Pasquale Marcello Falcone, Antonio Lopolito",https://www.sciencedirect.com/science/article/pii/S0378873325000619,Research article,"P28, Q16, Q55, Innovation, Niche evolution, Network configuration, Social network analysis, Small-world-ness"
Volume 84,In progress (January 2026),Accounting for correlation and censoring in Bayesian Network Scale-up Method Models,"Benjamin Vogel, Breschine Cummins, Ian Laga",https://www.sciencedirect.com/science/article/pii/S0378873325000462,Research article,"NSUM, ARD, Key populations, Degree ratio"
Volume 84,In progress (January 2026),Stable or dynamic? Explaining the development of Muslim and non-Muslim boys’ and girls’ friendship-making across adolescence,"David Kretschmer, Lars Leszczensky",https://www.sciencedirect.com/science/article/pii/S0378873325000620,Research article,"Religion, Gender, Social networks, Friendship, Adolescence, Muslims"
Volume 84,In progress (January 2026),Duality: The first fifty years and beyond,"Alessandro Lomi, Philippa E. Pattison",https://www.sciencedirect.com/science/article/pii/S0378873325000632,Editorial,
Volume 84,In progress (January 2026),Duality: Taking stock and moving forward,Ronald L. Breiger,https://www.sciencedirect.com/science/article/pii/S0378873325000644,Short communication,
Volume 84,In progress (January 2026),The gears in network dynamics: The alter-trajectory approach,"Shira Offer, Claude S. Fischer, Keunbok Lee",https://www.sciencedirect.com/science/article/pii/S0378873325000607,Research article,"Network dynamics, Egocentric networks, Alter-Ego Relationships, Network Core, Network Periphery, Life Events, Life Course Research"
Volume 84,In progress (January 2026),In the shadow of silence: Modelling missing data in the dark networks of crime and terrorists,"Jonathan Januar, H. Colin Gallagher, Johan Koskinen",https://www.sciencedirect.com/science/article/pii/S0378873325000656,Research article,"Covert networks, Missing network data, Missingness model, Missingness assumptions, Statistical network analysis, ERGM"
Volume 84,In progress (January 2026),Use of aggregated relational data in agent-based modeling,"Yunsub Lee, Xinwei Xu",https://www.sciencedirect.com/science/article/pii/S0378873325000668,Research article,"Aggregated relational data, Agent-based modeling, Small-world network, Large scale networks, Acquaintance relationships"
Volume 84,In progress (January 2026),Trends of Friends – Time dynamics of Surface- and Deep- level traits in friendship formation and maintenance,"Daniel Cowen, Tobias Stark, Vincenz Frey, Andreas Flache",https://www.sciencedirect.com/science/article/pii/S037887332500067X,Research article,"Homophily, Adolescent friendship, Ethnic segregation, Stochastic actor-oriented models, Longitudinal social network analysis, Network dynamics, Social network analysis, Demographics"
Volume 83,Pages 1-232 (October 2025),Editorial Board,,https://www.sciencedirect.com/science/article/pii/S037887332500053X,Editorial board,
Volume 83,Pages 1-232 (October 2025),Socio-cognitive networks between researchers: Investigating scientific dualities with the group-oriented relational hyperevent model,"Alejandro Espinosa-Rada, Jürgen Lerner, Cornelius Fritz",https://www.sciencedirect.com/science/article/pii/S037887332500022X,Research article,
Volume 83,Pages 1-232 (October 2025),"Embeddedness, status, and groups: Networks and employment in the American television production","Erez Aharon Marantz, Jeff Sachs, Emily Erikson",https://www.sciencedirect.com/science/article/pii/S0378873325000358,Research article,"Networks, Communities, Embeddedness, Status, Labor Markets, Television"
Volume 83,Pages 1-232 (October 2025),Overlapping social circles in historical elite career networks:Measuring accumulated social status with ‘k-circles’ and circle esteem in bipartite networks,"Anton Grau Larsen, Jacob Aagaard Lunding, Christoph Houman Ellersgaard",https://www.sciencedirect.com/science/article/pii/S0378873325000231,Research article,"Elites, Careers, Cores, Networks, Social Structure"
Volume 83,Pages 1-232 (October 2025),A comparison of top-coding strategies for aggregated relational data,"Jody Clay-Warner, Hui Yi, Tenshi Kawashima, Jiacheng Li, David Okech, Fred Hassan Konteh",https://www.sciencedirect.com/science/article/pii/S0378873325000371,Research article,
Volume 83,Pages 1-232 (October 2025),"Bully-victim network perceptions of bullies, victims, and peer observers","Kyosuke Tanaka, Keqin Zhang, Jeremy Foote, Seungyoon Lee, Doran C. French",https://www.sciencedirect.com/science/article/pii/S0378873325000413,Research article,"Preadolescents, Bullying, Network perceptions, Exponential random graph models, Multiplexity"
Volume 83,Pages 1-232 (October 2025),Explaining contact patterns in acquaintanceship networks: A new covariate-based model,Derick S. Baum,https://www.sciencedirect.com/science/article/pii/S037887332500036X,Research article,"Aggregate relational data, Position generator, Egocentric networks, Network size, Segregation"
Volume 83,Pages 1-232 (October 2025),"Double agency and co-evolution for two-mode networks, with an application to corporate interlocks and firms’ environmental performance","Tom A.B. Snijders, Beata Łopaciuk-Gonczaryk",https://www.sciencedirect.com/science/article/pii/S0378873325000395,Research article,"Two-mode network, Stochastic actor-oriented model, RSiena, Directorate interlocks, ESG, Influence, Selection"
Volume 83,Pages 1-232 (October 2025),"Urban environmental stewardship networks: How organizations collaborate, share resources, and exchange knowledge within Baltimore, Maryland","Selena M. Livas, Dexter H. Locke, Nancy F. Sonti",https://www.sciencedirect.com/science/article/pii/S0378873325000322,Research article,"Environmental stewardship, Collaborative governance, Exponential random graph models (ERGMs), Organizations"
Volume 83,Pages 1-232 (October 2025),Networks of inclusion: Using teams and technology to create diverse social capital,"Sarah J. Gordon, Wayne E. Baker, Jose Uribe, Cassandra R. Chambers, Bruce A. Desmarais",https://www.sciencedirect.com/science/article/pii/S0378873325000346,Research article,
Volume 83,Pages 1-232 (October 2025),The Correspondence Analysis of two-mode networks revisited,Omar Lizardo,https://www.sciencedirect.com/science/article/pii/S0378873325000401,Research article,"Correspondence Analysis, Bonacich centrality, Duality, Two-mode networks, Clustering"
Volume 83,Pages 1-232 (October 2025),Modeling the duality of content niches and user interactions on online social media platforms,"Alvaro Uzaheta, Viviana Amati, Christoph Stadtfeld",https://www.sciencedirect.com/science/article/pii/S0378873325000334,Research article,"Duality, Stochastic Block Model, Dynamic Network Actor Model, Content niches, Social media"
Volume 83,Pages 1-232 (October 2025),Who’s in your extended network? Analysing the size and homogeneity of acquaintanceship networks in the Netherlands,"Beate Völker, Bas Hofstra, Rense Corten, Frank van Tubergen",https://www.sciencedirect.com/science/article/pii/S0378873325000383,Research article,"Network scale-up method, Extended networks, Segregation, Homogeneity"
Volume 83,Pages 1-232 (October 2025),The duality of network ties and attributes,"Annabell Schüßler, Jan A. Fuhse",https://www.sciencedirect.com/science/article/pii/S0378873325000437,Research article,"Duality, Multiplexity, One-sided nominations, Peer relations, Relationship practices"
Volume 83,Pages 1-232 (October 2025),The cultural construction of personal relationships,Oscar Stuhler,https://www.sciencedirect.com/science/article/pii/S0378873325000425,Research article,
Volume 83,Pages 1-232 (October 2025),In the network of the conclave: Social connections and the making of a pope,"Giuseppe Soda, Alessandro Iorio, Leonardo Rizzo",https://www.sciencedirect.com/science/article/pii/S0378873325000449,Research article,"Social network analysis, Centrality measures, Two-mode networks, Papal conclave"
Volume 82,Pages 1-228 (July 2025),Editorial Board,,https://www.sciencedirect.com/science/article/pii/S0378873325000279,Editorial board,
Volume 82,Pages 1-228 (July 2025),From warnings to bans: The role of social networks in the severity of sanctions,"Mélina Girard, David Décary-Hétu",https://www.sciencedirect.com/science/article/pii/S0378873325000012,Research article,"Hacking forums, Conflict management, Sanction, Social ties, Social network structures, Forums, Social network analysis"
Volume 82,Pages 1-228 (July 2025),Investigating the dynamics of yakuza violence using multilevel network analysis,"Niles Breuer, Martina Baradel",https://www.sciencedirect.com/science/article/pii/S0378873325000103,Research article,"Multilevel networks, Exponential random graph models, Organized crime, Criminal networks, Mafia"
Volume 82,Pages 1-228 (July 2025),Friends forever? Correlates of high school friendship (in)stability from adolescence to young adulthood,"Cassie McMillan, Kaley A. Jones, Wade C. Jacobsen, Nayan G. Ramirez, Mark E. Feinberg",https://www.sciencedirect.com/science/article/pii/S0378873325000085,Research article,"Friendship stability, Transition to young adulthood, High school completion, Homophily, Reciprocity, Transitivity"
Volume 82,Pages 1-228 (July 2025),Identifying stages in the lifespan of dynamic groups,"Raji Ghawi, Jürgen Pfeffer",https://www.sciencedirect.com/science/article/pii/S0378873325000127,Research article,"Group dynamics, Membership changes, Group lifespan, Stage transitions, Stability, Timeseries segmentation, Markov chains"
Volume 82,Pages 1-228 (July 2025),Differences in perceived social connection help explain SES-based gaps in well-being,"Wicia M. Fang, Andrea Courtney, Matthew O. Jackson, Jamil Zaki",https://www.sciencedirect.com/science/article/pii/S0378873325000139,Research article,
Volume 82,Pages 1-228 (July 2025),Podcasts in the periphery: Tracing guest trajectories in political podcasts,"Sydney A. DeMets, Emma S. Spiro",https://www.sciencedirect.com/science/article/pii/S0378873325000115,Research article,
Volume 82,Pages 1-228 (July 2025),Spatiotemporal analysis of the dynamic evolution and driving factors of trade networks in the Belt and Road countries,"Xingxuan Zhuo, Liuqing Lin, Jiefan Lian",https://www.sciencedirect.com/science/article/pii/S0378873325000140,Research article,
Volume 82,Pages 1-228 (July 2025),Modeling the “who” and “how” of social influence in the adoption of health practices,"Neelam Modi, Johan Koskinen, Leslie DeChurch, Noshir Contractor",https://www.sciencedirect.com/science/article/pii/S0378873325000152,Research article,"Social influence, Persuasion, Social network analysis, Family planning, Kenya"
Volume 82,Pages 1-228 (July 2025),An Optimal Transport approach to model the community structure of the International Trade Network,"Rossana Mastrandrea, Paolo Pagnottoni, Nicolò Pecora, Alessandro Spelta",https://www.sciencedirect.com/science/article/pii/S0378873325000176,Research article,"F14, C65, L14, International Trade Network, Optimal Transport, Modularity, Gravity model"
Volume 82,Pages 1-228 (July 2025),"Duality, dissimilarity, and diversity: The use of ecological approaches to cross-nested affiliation data","Maurice Bokanga, John Levi Martin",https://www.sciencedirect.com/science/article/pii/S0378873325000097,Research article,
Volume 82,Pages 1-228 (July 2025),Deviations from cultural consensus about occupations: The duality of occupation meanings and Americans’ meaning communities,"Aidan Combs, Gabriel Varela, Dawn T. Robinson, Lynn Smith-Lovin, Stephen Vaisey",https://www.sciencedirect.com/science/article/pii/S0378873325000206,Research article,"Duality, Occupations, Culture, Cultural consensus"
Volume 82,Pages 1-228 (July 2025),Spatial dynamics in collective identity: Proximity and homophily in antifascist hyperlink-networks,"Janine Schröder, Jürgen Pfeffer",https://www.sciencedirect.com/science/article/pii/S037887332500019X,Research article,"Social networks, Social movements, Spatial dynamics, Antifascism, Exponential random graph modeling"
